fips_state_code,state_name,fips_county_code,county_name
,,000,Brookland city
,,000,Bryant city
,,000,Buckner city
,,000,Bull Shoals city
,,000,Burdette town
,,000,Cabot city
,,000,Caddo Valley town
,,000,Caldwell town
,,000,Cale town
,,000,Calico Rock city
,,000,Calion city
,,000,Camden city
,,000,Cammack Village city
,,000,Campbell Station city
,,000,Caraway city
,,000,Carlisle city
,,000,Carthage city
,,000,Casa town
,,000,Cash town
,,000,Caulksville town
,,000,Cave City city
,,000,Cave Springs city
,,000,Cedarville city
,,000,Centerton city
,,000,Central City town
,,000,Charleston city
,,000,Cherokee Village city
,,000,Cherry Valley city
,,000,Chester town
,,000,Chidester city
,,000,Clarendon city
,,000,Clarkedale city
,,000,Clarksville city
,,000,Clinton city
,,000,Coal Hill city
,,000,College City city
,,000,Colt city
,,000,Concord town
,,000,Conway city
,,000,Corinth town
,,000,Corning city
,,000,Cotter city
,,000,Cotton Plant city
,,000,Cove town
,,000,Coy town
,,000,Crawfordsville town
,,000,Crossett city
,,000,Cushman city
,,000,Daisy town
,,000,Damascus town
,,000,Danville city
,,000,Dardanelle city
,,000,Datto town
,,000,Decatur city
,,000,Delaplaine town
,,000,Delight city
,,000,Dell town
,,000,Denning town
,,000,De Queen city
,,000,Dermott city
,,000,Des Arc city
,,000,De Valls Bluff city
,,000,DeWitt city
,,000,Diamond City city
,,000,Diaz city
,,000,Dierks city
,,000,Donaldson town
,,000,Dover city
,,000,Dumas city
,,000,Dyer city
,,000,Dyess town
,,000,Earle city
,,000,East Camden town
,,000,Edmondson town
,,000,Egypt town
,,000,Elaine city
,,000,El Dorado city
,,000,Elkins city
,,000,Elm Springs city
,,000,Emerson town
,,000,Emmet city
,,000,England city
,,000,Enola town
,,000,Etowah town
,,000,Eudora city
,,000,Eureka Springs city
,,000,Evening Shade city
,,000,Everton town
,,000,Fairfield Bay city
,,000,Fargo town
,,000,Farmington city
,,000,Fayetteville city
,,000,Felsenthal town
,,000,Fifty-Six city
,,000,Fisher city
,,000,Flippin city
,,000,Fordyce city
,,000,Foreman city
,,000,Forrest City city
,,000,Fort Smith city
,,000,Fouke city
,,000,Fountain Hill town
,,000,Fountain Lake town
,,000,Fourche town
,,000,Franklin town
,,000,Fredonia (Biscoe) town
,,000,Friendship town
,,000,Fulton town
,,000,Garfield town
,,000,Garland town
,,000,Garner town
,,000,Gassville city
,,000,Gateway town
,,000,Gentry city
,,000,Georgetown town
,,000,Gilbert town
,,000,Gillett city
,,000,Gillham town
,,000,Gilmore city
,,000,Glenwood city
,,000,Goshen town
,,000,Gosnell city
,,000,Gould city
,,000,Grady city
,,000,Grannis city
,,000,Gravette city
,,000,Greenbrier city
,,000,Green Forest city
,,000,Greenland city
,,000,Greenway city
,,000,Greenwood city
,,000,Greers Ferry city
,,000,Griffithville town
,,000,Grubbs city
,,000,Guion town
,,000,Gum Springs town
,,000,Gurdon city
,,000,Guy city
,,000,Hackett city
,,000,Hamburg city
,,000,Hampton city
,,000,Hardy city
,,000,Harrell town
,,000,Harrisburg city
,,000,Harrison city
,,000,Hartford city
,,000,Hartman city
,,000,Haskell city
,,000,Hatfield town
,,000,Havana city
,,000,Haynes town
,,000,Hazen city
,,000,Heber Springs city
,,000,Hector town
,,000,Helena-West Helena city
,,000,Hermitage city
,,000,Hickory Ridge city
,,000,Higden town
,,000,Higginson town
,,000,Highfill town
,,000,Highland city
,,000,Hindsville town
,,000,Holland city
,,000,Holly Grove city
,,000,Hope city
,,000,Horatio city
,,000,Horseshoe Bend city
,,000,Horseshoe Lake town
,,000,Hot Springs city
,,000,Houston town
,,000,Hoxie city
,,000,Hughes city
,,000,Humnoke city
,,000,Humphrey city
,,000,Hunter town
,,000,Huntington city
,,000,Huntsville city
,,000,Huttig city
